DrugBank ID,Name,Relation,UMLS_ID,ATC_Code,SideEffect_UMLS,SideEffectName
DB00028,Human immunoglobulin G,DIRECT,,,,
DB00215,Citalopram,DIRECT,C0008845,N06AB04,,
DB00313,Valproic acid,DIRECT,C0042291,N03AG01,,
DB00334,Olanzapine,DIRECT,C0171023,N05AH53,,
DB00334,Olanzapine,DIRECT,C0171023,,,
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0000731,Abdominal distension
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0000731,Abdominal distension
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0000737,Abdominal pain
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0687713,Gastrointestinal pain
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0000737,Abdominal pain
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0001122,Acidosis
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0001122,Acidosis
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0001925,Albuminuria
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0001925,Albuminuria
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0002170,Alopecia
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0002170,Alopecia
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0002395,Dementia Alzheimer's type
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0002395,Dementia Alzheimer's type
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0002418,Amblyopia
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0002418,Amblyopia
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0002453,Amenorrhoea
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0002453,Amenorrhoea
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0002622,Amnesia
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0002622,Amnesia
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0002871,Anaemia
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0002871,Anaemia
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0002994,Angioedema
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0002994,Angioedema
DB00334,Olanzapine,DIRECT,C0171023,N05AH03,C0003123,Anorexia
